SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018
010,0,0,00,United States,308745538,308758105,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,567980,2253924,2294209,2183509,2328694,2356252,2328669,2075779,2020313,987836,3973485,3936976,3940576,3963195,3992376,3962654,3901982,3855500,598691,2512442,2501531,2608019,2582448,2699826,2703215,2779436,2814013,389145,1461043,1435445,1332557,1380747,1292550,1259439,1122546,1041487,178835,792881,858764,850952,947947,1063702,1069230,953233,978826,0,0,0,0,0,0,0,0,0,178835,792881,858764,850952,947947,1063702,1069230,953233,978826,0,0,0,0,0,0,0,0,0,12.79898857,12.589173852,12.511116578,12.493440163,12.493175596,12.309933949,12.039095529,11.820984126,8.0928244199,7.9990857588,8.2803198685,8.1408206164,8.4484528254,8.3975028099,8.5756150392,8.6277792774,4.7061641498,4.5900880929,4.2307967093,4.3526195469,4.0447227708,3.912431139,3.4634804902,3.1932048488,2.5539481982,2.7460490726,2.7017267715,2.988275652,3.3285982753,3.3215493142,2.9410856198,3.0010858795,0,0,0,0,0,0,0,0,2.5539481982,2.7460490726,2.7017267715,2.988275652,3.3285982753,3.3215493142,2.9410856198,3.0010858795
020,1,0,00,Northeast Region,55317240,55318430,55380645,55600532,55776729,55907823,56015864,56047587,56058789,56072676,56111079,62215,219887,176197,131094,108041,31723,11202,13887,38403,163454,646265,637904,635741,632433,634515,628039,616552,609336,110848,470816,460985,480032,470196,488881,480331,501022,506909,52606,175449,176919,155709,162237,145634,147708,115530,102427,45723,206686,207584,194103,222685,227275,236718,215872,229700,-32918,-159789,-205314,-216273,-274391,-339996,-372953,-316879,-292928,12805,46897,2270,-22170,-51706,-112721,-136235,-101007,-63228,-3196,-2459,-2992,-2445,-2490,-1190,-271,-636,-796,11.646389369,11.454833676,11.384582534,11.301146646,11.324209532,11.20434042,10.996948983,10.863177115,8.4846099623,8.2779015368,8.5962112289,8.4020820365,8.7250748685,8.5692003816,8.9363320099,9.0371195009,3.161779407,3.1769321388,2.7883713049,2.89906461,2.5991346635,2.6351400388,2.0606169731,1.8260576141,3.7247036946,3.7275831375,3.4759149144,3.9792291689,4.0561842059,4.2230961065,3.8503376372,4.0950670621,-2.879569389,-3.686820778,-3.872925953,-4.903180146,-6.067919504,-6.653555548,-5.651919379,-5.222289092,0.845134306,0.0407623599,-0.397011039,-0.923950977,-2.011735298,-2.430459441,-1.801581742,-1.12722203
020,2,0,00,Midwest Region,66927001,66929743,66974749,67152631,67336937,67564135,67752238,67869139,67996917,68156035,68308744,45006,177882,184306,227198,188103,116901,127778,159118,152709,212614,834909,830701,830869,836505,837968,831667,816177,804431,140785,586840,584817,605188,597078,626494,619471,620556,621030,71829,248069,245884,225681,239427,211474,212196,195621,183401,25158,116948,120995,126681,134310,142759,144859,126013,127583,-50873,-186896,-181285,-123814,-182730,-234823,-228200,-161387,-157048,-25715,-69948,-60290,2867,-48420,-92064,-83341,-35374,-29465,-1108,-239,-1288,-1350,-2904,-2509,-1077,-1129,-1227,12.449493906,12.353389372,12.318197145,12.363692308,12.357461907,12.242454436,11.989119413,11.789576855,8.7504877826,8.6968381072,8.9723230665,8.8249187702,9.2388679994,9.1188486402,9.1155717285,9.1016891619,3.6990061239,3.656551265,3.3458740787,3.5387735378,3.1185939072,3.123605796,2.8735476848,2.687887693,1.7438348531,1.7993217139,1.8781318506,1.9851256285,2.1052580818,2.1323795548,1.8510505744,1.8698304564,-2.786843372,-2.69589683,-1.835626629,-2.700781819,-3.462920156,-3.359190761,-2.370672066,-2.301663494,-1.043008519,-0.896575116,0.0425052219,-0.71565619,-1.357662074,-1.226811206,-0.519621492,-0.431833037
020,3,0,00,South Region,114555744,114563045,114867066,116039399,117271075,118393244,119657737,121037542,122401186,123598424,124753948,304021,1172333,1231676,1122169,1264493,1379805,1363644,1197238,1155524,368752,1509597,1504936,1504799,1525280,1545722,1541342,1519944,1499838,228706,962751,960575,1011093,1006057,1052360,1058173,1092949,1109152,140046,546846,544361,493706,519223,493362,483169,426995,390686,68742,285343,344198,329897,365281,429088,436795,404582,418418,90679,335757,336615,293443,373439,452879,442633,364465,345132,159421,621100,680813,623340,738720,881967,879428,769047,763550,4554,4387,6502,5123,6550,4476,1047,1196,1288,13.0753983,12.900715293,12.770698648,12.814734,12.843808208,12.663079639,12.357287884,12.078306222,8.3388830191,8.2343067033,8.5807898649,8.4524499397,8.7443343664,8.6935469035,8.8857783149,8.9320830002,4.7365152812,4.66640859,4.1899087829,4.3622840605,4.0994738414,3.969532736,3.4715095687,3.1462232219,2.4715029092,2.9505576333,2.7997195452,3.0689308523,3.5654043717,3.5885415898,3.2892897676,3.3695510667,2.9081645678,2.8855541222,2.4903472978,3.1374707924,3.7630900106,3.6365043774,2.963134779,2.7793734944,5.379667477,5.8361117555,5.2900668429,6.2064016447,7.3284943823,7.2250459672,6.2524245465,6.1489245611
020,4,0,00,West Region,71945553,71946887,72103625,72787447,73489477,74192525,74960582,75788405,76614450,77319986,77993663,156738,683822,702030,703048,768057,827823,826045,705536,673677,243016,982714,963435,969167,968977,974171,961606,949309,941895,118352,492035,495154,511706,509117,532091,545240,564909,576922,124664,490679,468281,457461,459860,442080,416366,384400,364973,39212,183904,185987,200271,225671,264580,250858,206766,203125,-6888,10928,49984,46644,83682,121940,158520,113801,104844,32324,194832,235971,246915,309353,386520,409378,320567,307969,-250,-1689,-2222,-1328,-1156,-777,301,569,735,13.564866164,13.172754439,13.1250523,12.993051496,12.92441189,12.619264908,12.333939366,12.128940451,6.7917918366,6.7700904074,6.9298356343,6.8267702932,7.0592978512,7.1552465339,7.3396052849,7.4291216994,6.7730743272,6.402664032,6.1952166656,6.1662812026,5.8651140389,5.4640183742,4.9943340813,4.6998187519,2.5385138982,2.5429438207,2.7121923767,3.0260314993,3.5102060089,3.2920380658,2.6864164429,2.6156748143,0.1508443529,0.6834160664,0.6316815776,1.1220952977,1.6177886489,2.0802759896,1.4785645494,1.350093835,2.6893582511,3.2263598871,3.3438739543,4.148126797,5.1279946578,5.3723140554,4.1649809923,3.9657686492
040,3,6,01,Alabama,4779736,4780138,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,5310,13386,16730,14896,12021,10679,11585,10375,12751,14227,59689,59070,57936,58907,59637,59388,58259,57216,11073,48818,48364,50847,49692,51820,51662,53033,53425,3154,10871,10706,7089,9215,7817,7726,5226,3791,928,4716,5874,5111,3753,4685,5950,3190,3344,1238,-2239,59,2641,-755,-1553,-1977,2065,5718,2166,2477,5933,7752,2998,3132,3973,5255,9062,-10,38,91,55,-192,-270,-114,-106,-102,12.455601786,12.287820829,12.012410502,12.179749675,12.301816868,12.222387438,11.962999487,11.720998206,10.187095914,10.060744313,10.542582104,10.274434632,10.689339673,10.632332792,10.889883997,10.944391939,2.2685058724,2.2270765159,1.4698283977,1.9053150433,1.6124771946,1.5900546466,1.0731154898,0.7766062675,0.9841112772,1.2219173785,1.0597112344,0.7759790947,0.9664136698,1.2245437674,0.6550398799,0.685035969,-0.467223314,0.0122732593,0.5475831286,-0.156105573,-0.320350145,-0.40687782,0.4240305179,1.1713623417,0.516887963,1.2341906378,1.6072943629,0.6198735214,0.6460635248,0.8176659475,1.0790703978,1.8563983107
040,4,9,02,Alaska,710231,710249,713906,722038,730399,737045,736307,737547,741504,739786,737438,3657,8132,8361,6646,-738,1240,3957,-1718,-2348,2893,11702,11123,11342,11446,11335,11247,10981,10693,924,3936,3935,4046,4035,4354,4441,4586,4738,1969,7766,7188,7296,7411,6981,6806,6395,5955,433,1320,2361,2881,1213,2306,2282,2595,2401,1162,-979,-1274,-3544,-9593,-8178,-5175,-10746,-10752,1595,341,1087,-663,-8380,-5872,-2893,-8151,-8351,93,25,86,13,231,131,44,38,48,16.298685743,15.316326973,15.458170806,15.537359708,15.381442124,15.208400522,14.826266295,14.477154446,5.4821079374,5.4184794246,5.5143501217,5.4773061699,5.9083192772,6.0052019842,6.1919003031,6.4147346645,10.816577805,9.8978475486,9.9438206841,10.060053538,9.4731228466,9.2031985374,8.6343659918,8.062419782,1.8385118083,3.2510876547,3.9265552893,1.6465854731,3.1292108988,3.0857624247,3.5037028536,3.2506918382,-1.363562924,-1.754292957,-4.830167284,-13.02200696,-11.0974357,-6.997730301,-14.50897529,-14.557034,0.4749488838,1.4967946975,-0.903611995,-11.37542149,-7.968224804,-3.911967877,-11.00527243,-11.30634217
040,4,8,04,Arizona,6392017,6392288,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,15486,65723,83132,78370,98841,99756,111856,103424,122770,20942,86103,85580,86100,86124,86765,84965,83743,83550,11484,48157,48746,50590,50236,52850,56023,57680,58806,9458,37946,36834,35510,35888,33915,28942,26063,24744,2709,17126,15779,18681,22020,20235,20865,14248,14335,3496,10583,30078,23960,40464,45315,61949,62930,83240,6205,27709,45857,42641,62484,65550,82814,77178,97575,-177,68,441,219,469,291,100,183,451,13.36871183,13.135713346,13.053733777,12.884290102,12.79018379,12.332492056,11.968134518,11.7506235,7.4770571941,7.4820458375,7.6700161648,7.5153870878,7.7907129984,8.1316212847,8.2433397302,8.2705824723,5.8916546356,5.6536675087,5.3837176124,5.3689030139,4.9994707917,4.2008707713,3.7247947883,3.480041028,2.6590543744,2.4219259277,2.8322508791,3.2942277187,2.9828775312,3.0285111134,2.036253545,2.0161003935,1.6431608341,4.6166859783,3.6326069838,6.0534800367,6.6799651754,8.9917677912,8.9936437105,11.707024538,4.3022152084,7.038611906,6.4648578629,9.3477077553,9.6628427066,12.020278905,11.029897256,13.723124932
040,3,7,05,Arkansas,2915918,2916028,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,5950,18429,11702,7440,8177,10681,12003,12587,10828,9438,38442,38596,37977,38230,38779,38604,37703,37191,6967,29463,29775,30939,29942,31331,31142,31299,31093,2471,8979,8821,7038,8288,7448,7462,6404,6098,811,3717,3799,2384,3188,3398,3516,2180,2260,2459,5504,-1099,-2046,-3305,-146,1065,4003,2475,3270,9221,2700,338,-117,3252,4581,6183,4735,209,229,181,64,6,-19,-40,0,-5,13.11479884,13.100006856,12.848172205,12.899688305,13.04343512,12.935226528,12.581491629,12.362340119,10.051540457,10.106039593,10.467114302,10.10312496,10.538277566,10.434898574,10.444476739,10.335356439,3.0632583837,2.9939672629,2.3810579029,2.7965633449,2.5051575537,2.5003279544,2.1370148899,2.0269836801,1.2680845765,1.2894322222,0.8065419211,1.075705109,1.1429276809,1.1781229011,0.7274660306,0.7512271428,1.8777340622,-0.373015534,-0.692191598,-1.115183621,-0.049107546,0.356854633,1.3358011562,0.8226934418,3.1458186387,0.9164166886,0.1143503227,-0.039478512,1.0938201349,1.5349775341,2.0632671868,1.5739205847
040,4,9,06,California,37253956,37254523,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,66380,320920,318959,320042,344315,328003,255985,190222,157696,123311,509763,497431,499628,498911,500353,490384,481969,477145,57268,238444,239549,247723,243951,253556,259932,273362,280674,66043,271319,257882,251905,254960,246797,230452,208607,196471,21145,105527,105015,123416,138111,164026,148792,119732,117797,-20443,-53949,-40787,-52973,-45720,-80259,-122586,-137608,-156068,702,51578,64228,70443,92391,83767,26206,-17876,-38271,-365,-1977,-3151,-2306,-3036,-2561,-673,-509,-504,13.600439237,13.159096833,13.106439547,12.974572596,12.899306186,12.547844536,12.262519884,12.08629158,6.361668331,6.3370567721,6.4983678334,6.34413745,6.5367779933,6.6510863445,6.9550260712,7.1095952026,7.238770906,6.8220400607,6.6080717135,6.6304351458,6.3625281927,5.8967581916,5.3074938128,4.9766963775,2.8154525757,2.778078877,3.2374973843,3.5916850817,4.2286577605,3.807258973,3.0462872731,2.9838495411,-1.43935534,-1.078983985,-1.389608713,-1.188984526,-2.069110039,-3.136705256,-3.501098279,-3.953270713,1.3760972353,1.6990948923,1.8478886712,2.4027005552,2.1595477219,0.6705537169,-0.454811005,-0.969421172
040,4,8,08,Colorado,5029196,5029316,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564,18965,73490,71950,76761,80736,100889,88814,74981,79662,16789,65919,64743,64736,65722,66345,66595,66373,66249,7840,32015,32723,33581,33934,36264,36727,37688,38367,8949,33904,32020,31155,31788,30081,29868,28685,27882,2376,12670,11357,9060,9814,13493,9546,8447,8207,6792,26255,27951,35843,38359,56508,49138,37643,43293,9168,38925,39308,44903,48173,70001,58684,46090,51500,848,661,622,703,775,807,262,206,280,12.963355546,12.552576261,12.372848654,12.375043543,12.282329746,12.115861071,11.898190013,11.713601049,6.2959363433,6.3444380549,6.4182623368,6.3895609931,6.7134886713,6.6818714553,6.7560451573,6.7837360781,6.667419203,6.2081382061,5.9545863168,5.9854825499,5.5688410744,5.433989616,5.1421448561,4.9298649706,2.4916293447,2.2019308434,1.731617783,1.8479151172,2.4979346636,1.7367371392,1.5142303503,1.4510939608,5.1631987722,5.4192277014,6.8505933992,7.2227609516,10.461223744,8.9398480564,6.7479783447,7.6547107157,7.6548281169,7.6211585448,8.5822111823,9.0706760688,12.959158407,10.676585196,8.2622086951,9.1058046764
040,1,1,09,Connecticut,3574097,3574147,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665,4978,8898,6372,520,-132,-7274,-8835,-4794,-1215,9492,37642,36853,36138,36158,36319,35892,35396,35048,6843,29315,29087,29784,29668,30373,30085,31069,31312,2649,8327,7766,6354,6490,5946,5807,4327,3736,2452,13027,16035,11171,18263,16614,14489,14454,16494,124,-12343,-17392,-16929,-25041,-29986,-29202,-23652,-21509,2576,684,-1357,-5758,-6778,-13372,-14713,-9198,-5015,-247,-113,-37,-76,156,152,71,77,64,10.504038705,10.262003687,10.053259631,10.058280612,10.113484665,10.017048127,9.8974436264,9.8083759355,8.1803808154,8.0995007531,8.2856352,8.2529196637,8.4577458004,8.3963806115,8.687526162,8.7628357479,2.3236578901,2.1625029342,1.7676244313,1.8053609484,1.6557388644,1.6206675157,1.2099174644,1.0455401876,3.6351977104,4.4650701198,3.1076695816,5.0803246534,4.6263783205,4.0437147642,4.0416332404,4.6159367918,-3.444326809,-4.842937295,-4.709492288,-6.965800232,-8.349980758,-8.149945375,-6.613581666,-6.019412177,0.1908709015,-0.377867175,-1.601822706,-1.885475579,-3.723602438,-4.106230611,-2.571948426,-1.403475386
040,3,5,10,Delaware,897934,897934,899595,907316,915188,923638,932596,941413,949216,957078,967171,1661,7721,7872,8450,8958,8817,7803,7862,10093,2848,11301,11155,10889,10982,11026,11086,10868,10709,1842,7872,7693,8092,8077,8533,8503,9189,9307,1006,3429,3462,2797,2905,2493,2583,1679,1402,362,1556,1244,2387,1781,2281,1838,1688,1820,276,2782,3231,3322,4246,4049,3377,4470,6858,638,4338,4475,5709,6027,6330,5215,6158,8678,17,-46,-65,-56,26,-6,5,25,13,12.508640437,12.241399745,11.843426186,11.832559904,11.76728607,11.727314031,11.402228617,11.130576136,8.7132127703,8.4422311282,8.8012677654,8.7025665945,9.1066798505,8.9948900604,9.6406955066,9.6733842658,3.7954276663,3.7991686164,3.0421584206,3.129993309,2.6606062191,2.7324239711,1.7615331108,1.4571918707,1.7222763047,1.3651547541,2.5962217197,1.9189390993,2.4343533035,1.9443264649,1.7709755158,1.8916470789,3.0792883545,3.5456712304,3.6131749279,4.5748542479,4.3212172407,3.5723560783,4.6897278174,7.1279756414,4.8015646592,4.9108259845,6.2093966476,6.4937933472,6.7555705442,5.5166825432,6.4607033333,9.0196227203
040,3,5,11,District of Columbia,601723,601766,605085,619602,634725,650431,662513,675254,686575,695691,702455,3319,14517,15123,15706,12082,12741,11321,9116,6764,2246,9199,9231,9446,9334,9652,9715,9780,9788,1180,4672,4543,4811,4648,4895,4855,5452,5684,1066,4527,4688,4635,4686,4757,4860,4328,4104,699,2429,3410,4751,5222,5042,3504,3616,3592,1343,7251,6760,6118,2086,2865,2907,1146,-936,2042,9680,10170,10869,7308,7907,6411,4762,2656,211,310,265,202,88,77,50,26,4,15.022613941,14.718649921,14.700160914,14.218428204,14.430016587,14.267576913,14.150677221,14.001398996,7.6297045694,7.2437251211,7.4870288121,7.080271512,7.3181652709,7.1301169236,7.8884961361,8.1307674592,7.3929093719,7.4749248003,7.2131321023,7.1381566921,7.1118513164,7.1374599895,6.2621810853,5.8706315363,3.9667278252,5.4371786623,7.3936549337,7.9546423915,7.5379344834,5.1460205356,5.2319886332,5.1382330601,11.841392944,10.778688492,9.5210231287,3.1775917328,4.2832570993,4.2692584752,1.65814684,-1.338915964,15.808120769,16.215867154,16.914678062,11.132234124,11.821191583,9.4152790108,6.8901354732,3.7993170956
040,3,5,12,Florida,18801310,18804580,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325,41205,247567,232878,236936,297164,363919,405733,346830,322513,50875,213213,214009,212995,218336,221755,224643,224012,221488,41767,174508,173749,181628,181057,190991,193629,203723,208165,9108,38705,40260,31367,37279,30764,31014,20289,13323,22421,101645,99907,104788,113737,134214,157738,162228,175670,10291,106023,91420,99974,143628,196632,216222,163595,132602,32712,207668,191327,204762,257365,330846,373960,325823,308272,-615,1194,1291,807,2520,2309,759,718,918,11.239739059,11.140620947,10.953885733,11.076440304,11.064354699,10.997294258,10.768049084,10.47815698,9.1993658158,9.0448146989,9.3407467681,9.1852330904,9.5294003213,9.4790182197,9.7927756702,9.8478723352,2.0403732431,2.095806248,1.6131389647,1.8912072131,1.5349543773,1.5182760385,0.9752734133,0.630284645,5.3583190361,5.2008374271,5.3890268699,5.7700108585,6.6965403329,7.7219908998,7.7981495041,8.3105984825,5.5891097365,4.7590314751,5.1414529555,7.2864162022,9.810855192,10.585048095,7.8638599263,6.2731370182,10.947428773,9.9598689023,10.530479825,13.056427061,16.507395525,18.307038994,15.66200943,14.583735501
040,3,5,13,Georgia,9687653,9688709,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475,23101,89768,99918,71830,95675,112110,123652,108292,106420,32497,132614,131870,128660,129559,131677,130724,129047,127649,17199,71126,70422,74815,74830,78528,80016,82779,84888,15298,61488,61448,53845,54729,53149,50708,46268,42761,4174,11982,21860,22766,17314,25712,34971,21625,21786,2883,15503,15704,-5471,23419,33086,37979,40388,41914,7057,27485,37564,17295,40733,58798,72950,62013,63700,746,795,906,690,213,163,-6,11,-41,13.592104047,13.385728542,12.947034192,12.928538687,13.005063873,12.762355172,12.457586026,12.196232371,7.2899693277,7.1483261952,7.5286208853,7.4671967981,7.7558089555,7.8118219413,7.9910924983,8.1106297232,6.302134719,6.2374023465,5.418413307,5.4613418891,5.2492549177,4.9505332308,4.4664935275,4.0856026481,1.2280799213,2.2189430949,2.2909387566,1.7277434901,2.5394427448,3.4141574824,2.0875750525,2.0815448491,1.5889603589,1.5940659818,-0.550545811,2.336954187,3.267735013,3.7078232542,3.8988661837,4.0046759756,2.8170402802,3.8130090767,1.7403929454,4.0646976771,5.8071777578,7.1219807366,5.9864412362,6.0862208247
040,4,9,15,Hawaii,1360301,1360307,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491,3656,15289,15653,13548,6409,7622,5621,-3902,-3712,4644,19154,18896,19036,18955,18215,18249,17817,17326,2534,10064,10245,10339,10739,11069,10838,12275,12660,2110,9090,8651,8697,8216,7146,7411,5542,4666,1988,7313,10197,5758,3940,7389,9669,4721,4075,-359,-938,-3013,-760,-5688,-6834,-11424,-14153,-12430,1629,6375,7184,4998,-1748,555,-1755,-9432,-8355,-83,-176,-182,-147,-59,-79,-35,-12,-23,13.964636385,13.622877148,13.580855531,13.427477982,12.839463358,12.803669698,12.493040724,12.181275033,7.3373760351,7.3860275392,7.376153884,7.6073693513,7.8023617846,7.604042533,8.6070648752,8.9007815955,6.6272603496,6.2368496087,6.2047016471,5.8201086312,5.0371015731,5.1996271648,3.8859758483,3.280493438,5.3317002131,7.3514224321,4.1079305604,2.7910452783,5.2083884024,6.7838611599,3.3103016925,2.8649830175,-0.68386911,-2.172191408,-0.542206882,-4.029305975,-4.817177743,-8.015185634,-9.923893212,-8.739077033,4.6478311033,5.1792310241,3.5657236785,-1.238260697,0.3912106595,-1.231324474,-6.61359152,-5.874094015
