SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018
040,4,8,16,Idaho,1567582,1567657,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208,3116,13055,11613,16089,19949,20044,31407,35974,35304,5969,22952,22362,22704,22434,23036,22649,22403,22412,2558,11887,11899,12298,12543,12894,13287,12909,12989,3411,11065,10463,10406,9891,10142,9362,9494,9423,122,1608,1593,1855,1403,3101,3505,1694,1681,-378,272,-558,3695,8462,6752,18493,24732,24095,-256,1880,1035,5550,9865,9853,21998,26426,25776,-39,110,115,133,193,49,47,54,105,14.551444065,14.067384672,14.159155165,13.835299254,14.03349739,13.584836853,13.171130631,12.906004759,7.5362938134,7.4853684919,7.6695423813,7.7354086899,7.8550058757,7.9695230372,7.5894355809,7.4797472699,7.015150252,6.5820161804,6.4896127842,6.0998905646,6.1784915148,5.6153138161,5.5816950504,5.426257489,1.0194633172,1.0021171533,1.156854864,0.8652458257,1.8891246487,2.1022938395,0.9959333701,0.9680079422,0.1724465313,-0.351024088,2.3043551064,5.2186102475,4.1133084902,11.092074172,14.540392036,13.875164406,1.1919098485,0.6510930657,3.4612099704,6.0838560732,6.0024331389,13.194368012,15.536325406,14.843172348
040,2,3,17,Illinois,12830632,12831572,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080,9190,26529,16828,14150,-9307,-24620,-37447,-40699,-45116,41835,162426,160152,157511,157522,159244,156299,151472,148117,24054,101615,101291,104307,102709,107598,106197,108248,110092,17781,60811,58861,53204,54813,51646,50102,43224,38025,5136,31610,28316,28700,29935,31480,25446,30536,30735,-13357,-65999,-70308,-67632,-94459,-108103,-113136,-114689,-114154,-8221,-34389,-41992,-38932,-64524,-76623,-87690,-84153,-83419,-370,107,-41,-122,404,357,141,230,278,12.636196137,12.438309203,12.21849582,12.217054247,12.366879217,12.167495088,11.827701701,11.604606774,7.9053050031,7.8668313696,8.0913373889,7.9658804778,8.3560540426,8.2671768588,8.4525526419,8.6254404896,4.7308911336,4.5714778336,4.1271584308,4.2511737689,4.0108251741,3.9003182291,3.3751490595,2.9791662847,2.4591516129,2.1991805497,2.226325971,2.3216916931,2.4447348581,1.980908899,2.3844056932,2.4080125118,-5.134500073,-5.460516531,-5.246372058,-7.326028917,-8.395272311,-8.807361047,-8.955498577,-8.943688312,-2.67534846,-3.261335981,-3.020046087,-5.004337224,-5.950537453,-6.826452148,-6.571092884,-6.5356758
040,2,3,18,Indiana,6483802,6484061,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878,6375,25609,21595,30727,25166,14763,25048,26738,31796,20960,83465,83077,83369,83522,84172,83560,82093,81075,13860,57898,58627,60708,59856,62946,62143,62611,61864,7100,25567,24450,22661,23666,21226,21417,19482,19211,2391,8941,10680,8760,9708,8007,13506,9067,9227,-3061,-8711,-13318,-382,-7613,-14132,-9743,-1639,3555,-670,230,-2638,8378,2095,-6125,3763,7428,12782,-55,-188,-217,-312,-595,-338,-132,-172,-197,12.834370803,12.72851306,12.722257817,12.691480713,12.751566469,12.620793195,12.350916912,12.144284435,8.9029461543,8.9824444209,9.2641488746,9.0953433775,9.5359514201,9.3859975048,9.4198440643,9.2666544837,3.931424649,3.7460686389,3.458108942,3.5961373358,3.2156150485,3.23479569,2.9310728476,2.877629951,1.3748530444,1.6363195527,1.3367915949,1.4751669592,1.2130137423,2.0399285889,1.364132918,1.3821191795,-1.339486061,-2.040496611,-0.05829388,-1.156823863,-2.140915475,-1.471569987,-0.24658805,0.532506089,0.0353669836,-0.404177058,1.2784977148,0.3183430964,-0.927901732,0.5683586021,1.1175448677,1.9146252685
040,2,4,19,Iowa,3046355,3046872,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145,3895,15287,10043,16981,16426,11956,10325,11852,12508,9966,37852,38478,38805,39460,39694,39428,38892,38417,6871,28210,28048,29139,28925,29808,29189,28817,28803,3095,9642,10430,9666,10535,9886,10239,10075,9614,1454,6180,4068,6973,6862,5492,5622,5809,5828,-553,-541,-4438,306,-891,-3304,-5508,-4010,-2886,901,5639,-370,7279,5971,2188,114,1799,2942,-101,6,-17,36,-80,-118,-28,-22,-48,12.376363474,12.529161201,12.580288288,12.723733439,12.74088568,12.610412674,12.395022996,12.196295046,9.2237454717,9.132956842,9.4466440002,9.3267610166,9.5677009208,9.3356329394,9.1840835565,9.1441259396,3.1526180021,3.396204359,3.1336442879,3.3969724221,3.1731847592,3.2747797344,3.2109394396,3.0521691068,2.0206574624,1.3246173857,2.2605940016,2.212626935,1.7628090934,1.7981064231,1.8513495985,1.8502227537,-0.17688927,-1.445096351,0.0992028918,-0.287299708,-1.060510059,-1.761645354,-1.278001703,-0.91622218,1.8437681927,-0.120478966,2.3597968934,1.9253272266,0.7022990343,0.0364610694,0.573347896,0.9340005734
040,2,4,20,Kansas,2853118,2853126,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505,5087,10822,16326,8149,7386,8606,1761,-574,816,9990,40125,39580,39724,39291,38999,38616,37410,36637,5994,25179,24967,25593,25500,26557,26270,25477,25272,3996,14946,14613,14131,13791,12442,12346,11933,11365,946,4854,6097,5815,6641,9214,7582,2267,2057,210,-8983,-4459,-11799,-13033,-12945,-18147,-14741,-12564,1156,-4129,1638,-5984,-6392,-3731,-10565,-12474,-10507,-65,5,75,2,-13,-105,-20,-33,-42,14.011965258,13.756439425,13.748014102,13.561700716,13.423865284,13.268359056,12.851359819,12.585290013,8.7927046288,8.6775397453,8.8574394549,8.8015924324,9.1411982449,9.0263049616,8.7520474233,8.681263455,5.2192606292,5.0788996795,4.8905746468,4.7601082837,4.2826670393,4.2420540943,4.0993123956,3.9040265577,1.6950549374,2.1190755728,2.0125038264,2.2922107978,3.1715555458,2.6051558515,0.7787766028,0.7066064786,-3.136934179,-1.549771688,-4.083496586,-4.498476634,-4.455804921,-6.235262891,-5.063937319,-4.315898783,-1.441879241,0.5693038852,-2.07099276,-2.206265836,-1.284249375,-3.630107039,-4.285160716,-3.609292305
040,3,6,21,Kentucky,4339367,4339333,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402,8867,21288,16893,18436,9666,11516,12230,15645,14528,13696,55319,55290,56047,55757,55948,55666,54793,53803,10539,42430,42787,44424,43684,46367,46758,46577,45778,3157,12889,12503,11623,12073,9581,8908,8216,8025,1512,5057,7841,8887,5034,7459,7104,5923,5816,4035,3434,-3330,-2018,-7165,-5351,-3670,1627,798,5547,8491,4511,6869,-2131,2108,3434,7550,6614,163,-92,-121,-56,-276,-173,-112,-121,-111,12.691208954,12.629243311,12.750708151,12.644314175,12.657228418,12.55969499,12.323968807,12.060375626,9.7342322873,9.7733303228,10.106472406,9.9064551608,10.489699544,10.54981889,10.476036996,10.261507266,2.9569766663,2.8559129882,2.6442357458,2.7378590138,2.1675288746,2.0098760998,1.847931811,1.7988683605,1.16016999,1.7910272527,2.0217949818,1.1415872008,1.6874645523,1.6028468582,1.3321932956,1.3037032255,0.7878235606,-0.760632668,-0.459095564,-1.624845509,-1.210567478,-0.828047293,0.3659426797,0.1788781248,1.9479935506,1.0303945845,1.5626994182,-0.483258308,0.4768970742,0.7747995652,1.6981359753,1.4825813503
040,3,7,22,Louisiana,4533372,4533485,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978,11047,30652,25630,23763,19627,20647,13364,-7397,-10840,14574,62300,62274,62527,64205,64393,63973,62145,60341,9177,40758,40737,43780,43574,43957,43673,45145,46256,5397,21542,21537,18747,20631,20436,20300,17000,14085,1206,6783,4209,6178,4690,6170,6247,3064,3012,4091,1970,-304,-1426,-5676,-5903,-13106,-27458,-27914,5297,8753,3905,4752,-986,267,-6859,-24394,-24902,353,357,188,264,-18,-56,-77,-3,-23,13.662706163,13.573237483,13.555414616,13.854033233,13.834486959,13.694219863,13.29442307,12.933730413,8.9384362408,8.8790341933,9.4911966333,9.402315148,9.4439231479,9.3487512557,9.6576833133,9.9146953808,4.7242699224,4.6942032899,4.0642179827,4.4517180846,4.3905638113,4.3454686074,3.6367397569,3.019035032,1.4875463227,0.9173933996,1.3393470261,1.0119993125,1.3255910509,1.3372483936,0.6554688597,0.6456040835,0.4320309975,-0.066259823,-0.309146788,-1.224756524,-1.268227548,-2.805503033,-5.873976485,-5.983198004,1.9195773202,0.851133577,1.0302002376,-0.212757212,0.0573635025,-1.468254639,-5.218507625,-5.33759392
040,1,1,23,Maine,1328361,1328369,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404,-737,518,-459,505,2564,-2276,2886,3693,3341,3439,12625,12803,12871,12700,12652,12652,12581,12438,3099,13029,12749,13403,13354,14178,14169,14113,14079,340,-404,54,-532,-654,-1526,-1517,-1532,-1641,294,1110,492,1753,3002,621,1922,579,570,-1313,-82,-841,-594,364,-1270,2536,4690,4469,-1019,1028,-349,1159,3366,-649,4458,5269,5039,-58,-106,-164,-122,-148,-101,-55,-44,-57,9.5075574727,9.6413904296,9.6924304385,9.5526214048,9.5154863563,9.5133041137,9.43657688,9.3047716691,9.8117993118,9.6007253446,10.093049893,10.044543798,10.663180964,10.653968225,10.58567757,10.532391086,-0.304241839,0.040665085,-0.400619454,-0.491922394,-1.147694608,-1.140664112,-1.14910069,-1.227619417,0.8359119837,0.3705041077,1.3200862838,2.2580290911,0.4670500338,1.4451921045,0.4342880545,0.4264125946,-0.061752056,-0.633321046,-0.447308187,0.2737916686,-0.955158684,1.9068715802,3.5178082479,3.34322436,0.7741599273,-0.262816938,0.8727780964,2.5318207597,-0.48810865,3.3520636847,3.9520963024,3.7696369546
040,3,5,24,Maryland,5773552,5773798,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718,14844,50349,48081,36632,34461,28552,17975,20199,17827,18454,73542,72720,72362,72756,74158,73387,72138,71029,10628,43674,43461,45736,44735,47160,47239,50555,51184,7826,29868,29259,26626,28021,26998,26148,21583,19845,6590,20726,25760,21406,23397,27566,21569,22756,22575,841,208,-6323,-10919,-16504,-25680,-29676,-24011,-24518,7431,20934,19437,10487,6893,1886,-8107,-1255,-1943,-413,-453,-615,-481,-453,-332,-66,-129,-75,12.649522048,12.403139911,12.253555567,12.24655818,12.416698633,12.239929436,11.993433189,11.771843122,7.5121050002,7.4127181476,7.7447917055,7.5299601435,7.896268879,7.8788072361,8.4051126294,8.4828734507,5.1374170478,4.9904217639,4.5087638611,4.7165980369,4.5204297539,4.3611222001,3.5883205594,3.2889696708,3.5649559975,4.3936315198,3.624825329,3.9382693076,4.6155332468,3.5974087782,3.7833397883,3.741420525,0.035776843,-1.078452333,-1.848989431,-2.778014132,-4.299749466,-4.949543461,-3.991992075,-4.063439576,3.6007328405,3.3151791867,1.7758358977,1.1602551753,0.3157837809,-1.352134682,-0.208652287,-0.322019051
040,1,1,25,Massachusetts,6547629,6547790,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149,18641,46718,50009,50786,49708,32239,30131,37224,38903,18647,73183,72220,72154,71948,71924,71418,70675,70297,12289,54019,52417,54785,54728,57476,55962,58097,58506,6358,19164,19803,17369,17220,14448,15456,12578,11791,8978,33969,38501,37172,44209,40527,45032,49668,53013,3556,-5779,-7578,-3050,-10714,-22191,-30232,-24844,-25755,12534,28190,30923,34122,33495,18336,14800,24824,27258,-251,-636,-717,-705,-1007,-545,-125,-178,-146,11.105513226,10.879531484,10.787687797,10.676681509,10.608617119,10.485751891,10.325606891,10.213582683,8.1973780652,7.8963223734,8.190862266,8.1213296496,8.4775718474,8.2164670997,8.4879629795,8.5004462277,2.9081351606,2.9832091108,2.5968255307,2.5553518595,2.131045272,2.2692847914,1.837643912,1.7131364556,5.1547924896,5.799956268,5.5575564872,6.5603687779,5.977635087,6.6116998398,7.2564873447,7.7023579781,-0.876962695,-1.14158252,-0.456003101,-1.589897783,-3.27311916,-4.438730449,-3.629704671,-3.741992148,4.2778297943,4.6583737481,5.1015533858,4.970470995,2.7045159265,2.1729693913,3.6267826738,3.9603658304
040,2,3,26,Michigan,9883640,9884117,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915,-6582,3986,15409,16419,17240,1984,19317,24557,19468,29109,113976,113078,113008,114523,113793,113315,112080,110676,22099,89842,89049,92298,91829,96368,94775,95630,95614,7010,24134,24029,20710,22694,17425,18540,16450,15062,4618,21780,24111,23401,23342,21492,28090,21416,21415,-18683,-42146,-32516,-27887,-28283,-36454,-27061,-13021,-16766,-14065,-20366,-8405,-4486,-4941,-14962,1029,8395,4649,473,218,-215,195,-513,-479,-252,-288,-243,11.536583529,11.434464711,11.409026597,11.542366238,11.457692386,11.397340728,11.248304362,11.082915481,9.0937542765,9.004648544,9.3181928432,9.2551186161,9.7031882436,9.5325682167,9.597388884,9.5746311828,2.4428292526,2.4298161671,2.0908337535,2.2872476219,1.7545041419,1.8647725111,1.6509154778,1.5082842981,2.2045587603,2.4381080197,2.3625108965,2.3525572394,2.164005912,2.8253214583,2.1493012688,2.144463434,-4.265993274,-3.288022909,-2.815407092,-2.850543073,-3.670513285,-2.721823566,-1.306782397,-1.6789201,-2.061434514,-0.84991489,-0.452896196,-0.497985833,-1.506507373,0.1034978918,0.8425188715,0.4655433343
040,2,4,27,Minnesota,5303925,5303925,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179,6918,34825,30882,37143,37829,30981,40906,44746,43024,17498,68368,68045,68968,69895,69709,69813,69258,68617,9340,39982,39316,41320,40824,42943,42664,42646,42847,8158,28386,28729,27648,29071,26766,27149,26612,25770,2954,11931,11342,11130,16024,16573,16392,10766,10718,-4049,-5302,-8917,-1281,-6649,-11896,-2432,7598,6769,-1095,6629,2425,9849,9375,4677,13960,18364,17487,-145,-190,-272,-354,-617,-462,-203,-230,-233,12.831216521,12.692336604,12.783400707,12.865829162,12.750839695,12.686454335,12.488410111,12.275686548,7.5037692918,7.333557292,7.6587709841,7.5146235026,7.8549299092,7.7529240648,7.6898082182,7.6653940208,5.3274472292,5.3587793123,5.1246297234,5.3512056595,4.8959097862,4.9335302699,4.7986018924,4.6102925273,2.239194423,2.1156070507,2.0629748561,2.9495964875,3.031454565,2.9787626868,1.9412952042,1.9174666398,-0.995072402,-1.663275266,-0.237436729,-1.223905832,-2.175959905,-0.441944293,1.3700502472,1.2109844826,1.2441220208,0.4523317843,1.8255381274,1.7256906559,0.85549466,2.5368183936,3.3113454514,3.1284511224
040,3,6,28,Mississippi,2967297,2968118,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530,2418,7934,5297,5030,1826,-1930,-395,1365,-3133,9418,39745,39431,38506,38716,38578,38155,37204,36319,6643,29131,29018,30639,30579,31507,31500,31081,31356,2775,10614,10413,7867,8137,7071,6655,6123,4963,594,2117,1993,1737,2608,3243,961,2612,2749,-1077,-5002,-7351,-4638,-8933,-12263,-7990,-7367,-10818,-483,-2885,-5358,-2901,-6325,-9020,-7029,-4755,-8069,126,205,242,64,14,19,-21,-3,-27,13.361896088,13.226914663,12.894294645,12.949750979,12.903817092,12.767293777,12.447053435,12.154560604,9.7935688752,9.7339304023,10.259915172,10.228082322,10.53866362,10.540420757,10.398528863,10.493637003,3.568327213,3.4929842608,2.6343794725,2.7216686568,2.3651534724,2.2268730202,2.0485245722,1.6609236014,0.711715537,0.6685410191,0.5816597361,0.8723254095,1.0847394585,0.3215664872,0.8738765609,0.9199836752,-1.681625468,-2.465853001,-1.553101817,-2.987915216,-4.101806963,-2.67358609,-2.464719994,-3.620365005,-0.969909931,-1.797311982,-0.971442081,-2.115589806,-3.017067504,-2.352019603,-1.590843433,-2.70038133
040,2,4,29,Missouri,5988927,5988952,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452,7024,13665,14440,16577,15635,15452,15458,21409,17840,19015,76247,75430,75170,75777,75141,74889,73617,72508,13181,55984,55633,57580,57133,60058,59239,59411,59825,5834,20263,19797,17590,18644,15083,15650,14206,12683,1884,8457,6545,5486,6303,9122,5634,8169,8077,-516,-14935,-11587,-6235,-8922,-8381,-5749,-893,-2790,1368,-6478,-5042,-749,-2619,741,-115,7276,5287,-178,-120,-315,-264,-390,-372,-77,-73,-130,12.701887791,12.536437189,12.461106701,12.528280887,12.391287033,12.318335435,12.07250192,11.852492149,9.3263011805,9.2461833504,9.5451712631,9.4458512728,9.9039927151,9.7440995718,9.7428503138,9.779270464,3.3755866108,3.2902538383,2.915935438,3.0824296139,2.4872943175,2.5742358632,2.3296516059,2.0732216848,1.4088405452,1.0877765001,0.9094270502,1.0420807689,1.5042828857,0.9267249107,1.3396398683,1.320303678,-2.488002074,-1.925754974,-1.033590532,-1.47508244,-1.382086699,-0.945641021,-0.146443678,-0.45606627,-1.079161529,-0.837978474,-0.124163482,-0.433001671,0.1221961871,-0.01891611,1.1931961907,0.8642374082
040,4,8,30,Montana,989415,989409,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305,1313,6499,6533,9810,8327,8612,10360,12227,9215,3067,12005,12035,12205,12386,12578,12425,12182,12050,2387,9128,8958,9444,9381,9686,9926,9641,9726,680,2877,3077,2761,3005,2892,2499,2541,2324,346,437,332,1654,618,595,837,932,889,303,3177,3090,5359,4648,5070,7010,8708,5987,649,3614,3422,7013,5266,5665,7847,9640,6876,-16,8,34,36,56,55,14,46,15,12.077811084,12.029135796,12.100224159,12.17025186,12.256905838,11.996914114,11.6354092,11.392671345,9.1833618972,8.9536351029,9.3629264201,9.2175950832,9.4387334985,9.5840136412,9.2084206284,9.1954457678,2.8944491869,3.0755006934,2.7372977389,2.952656777,2.8181723392,2.4129004724,2.4269885714,2.1972255773,0.4396504326,0.3318382289,1.6398009635,0.6072352373,0.5798106991,0.8081623431,0.8901823489,0.8405049648,3.1962687059,3.088494359,5.3129947782,4.5670378367,4.9405718395,6.7684803169,8.3172831482,5.6604085762,3.6359191385,3.4203325879,6.9527957417,5.1742730741,5.5203825386,7.57664266,9.2074654971,6.500913541
040,2,4,31,Nebraska,1826341,1826305,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268,3231,11002,12785,12091,14108,11985,14417,11651,11693,6512,25725,25762,26022,26468,26859,26632,26169,25899,3657,15622,15218,16171,15706,16577,16167,15650,15565,2855,10103,10544,9851,10762,10282,10465,10519,10334,657,2131,3249,3146,5065,4112,5958,4742,4705,-251,-1209,-930,-839,-1635,-2311,-1959,-3550,-3314,406,922,2319,2307,3430,1801,3999,1192,1391,-30,-23,-78,-67,-84,-98,-47,-60,-32,14.018790902,13.948548687,13.995074134,14.13535505,14.244918297,14.026324639,13.688508876,13.465067329,8.5131798432,8.2396170294,8.6970388065,8.3878602999,8.7917647942,8.5147037563,8.1862189581,8.0923500127,5.5056110585,5.7089316571,5.2980353276,5.7474947502,5.4531535027,5.5116208826,5.5022899182,5.3727173165,1.1612844864,1.7591349539,1.6919723013,2.7049861466,2.1808371137,3.1379108666,2.4804504984,2.4461616967,-0.658842301,-0.503538168,-0.451228468,-0.873179141,-1.225660158,-1.031750149,-1.856937847,-1.722971278,0.5024421851,1.2555967861,1.2407438332,1.8318070055,0.9551769557,2.1061607176,0.6235126516,0.7231904187
040,4,8,32,Nevada,2700551,2700679,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392,1785,10335,31767,32406,42040,49654,51106,52633,61987,8892,35846,34702,35089,35226,36231,36281,36196,36042,4947,20201,20405,21253,21271,22465,23328,24691,25041,3945,15645,14297,13836,13955,13766,12953,11505,11001,985,1107,3710,4574,3914,6566,3046,3101,3100,-3055,-6189,13595,13984,23822,29019,34985,37844,47596,-2070,-5082,17305,18558,27736,35585,38031,40945,50696,-90,-228,165,12,349,303,122,183,290,13.238876856,12.717492783,12.709864534,12.58974293,12.740172703,12.535678883,12.286121072,12.000405541,7.4607641402,7.4779678471,7.698217417,7.6022376047,7.8995329904,8.0602055339,8.3809430708,8.3375549398,5.7781127159,5.2395249356,5.0116471172,4.9875053252,4.8406397127,4.4754733488,3.9051780013,3.6628506007,0.4088444088,1.3596305177,1.6567847582,1.3988603255,2.3088508175,1.0524428179,1.0525820932,1.0321640635,-2.28576156,4.9822579212,5.0652553691,8.5139628705,10.20416416,12.087889686,12.845506847,15.847380892,-1.876917151,6.3418884388,6.7220401272,9.9128231961,12.513014977,13.140332504,13.898088941,16.879544955
040,1,1,33,New Hampshire,1316470,1316464,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458,313,3038,4147,2446,6815,3071,6079,7394,6691,3265,12993,12370,12595,12222,12380,12358,12222,12149,2518,10736,10507,10872,11097,11921,11820,12073,11935,747,2257,1863,1723,1125,459,538,149,214,448,2908,3261,2548,2835,3900,3815,2548,2606,-807,-2051,-847,-1717,2949,-1153,1775,4738,3928,-359,857,2414,831,5784,2747,5590,7286,6534,-75,-76,-130,-108,-94,-135,-49,-41,-57,9.8559048954,9.3578240525,9.5043333572,9.1907486414,9.2750860924,9.2269774481,9.0797655397,8.9785586934,8.1438462986,7.9484767437,8.2041375355,8.3447666236,8.9312036597,8.8252851138,8.9690729308,8.8204048074,1.7120585969,1.4093473088,1.3001958217,0.8459820178,0.3438824327,0.4016923343,0.1106926089,0.1581538859,2.2058778909,2.4669251605,1.9227504084,2.1318746849,2.9218768789,2.8484317013,1.8929179017,1.9259300317,-1.55579627,-0.640749957,-1.295668152,2.2176008627,-0.863826677,1.3252860471,3.5198763809,2.9029367477,0.6500816205,1.8261752031,0.6270822564,4.3494755475,2.0580502016,4.1737177484,5.4127942826,4.8288667794
040,1,2,34,New Jersey,8791894,8791962,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520,7662,28159,17700,12879,8418,4089,3647,14027,19977,26538,106678,104520,103459,103327,103119,102901,101439,100226,17091,71068,69049,72472,70489,72485,71146,75544,76370,9447,35610,35471,30987,32838,30634,31755,25895,23856,7198,34663,28184,29049,30474,41745,39398,45151,46660,-8758,-42169,-45823,-47133,-55036,-68471,-67589,-57040,-50591,-1560,-7506,-17639,-18084,-24562,-26726,-28191,-11889,-3931,-225,55,-132,-24,142,181,83,21,52,12.103652001,11.828034501,11.687743538,11.658806457,11.627132773,11.597494222,11.421343587,11.263206744,8.0633527098,7.813949046,8.1871480461,7.9535611055,8.1730109779,8.0185355235,8.5057421697,8.5823149584,4.0402992908,4.0140854554,3.5005954921,3.7052453515,3.4541217948,3.5789586983,2.9156014175,2.6808917853,3.9328529715,3.1894500994,3.281660001,3.4385055984,4.7069372046,4.4403657627,5.0836964512,5.2435618169,-4.784481348,-5.185572378,-5.324606039,-6.209936146,-7.720414357,-7.617642559,-6.422317237,-5.6853201,-0.851628376,-1.996122279,-2.042946038,-2.771430548,-3.013477152,-3.177276796,-1.338620786,-0.441758283
